images,labels
F:\data\images\pic_1.jpg,F:\data\labels\pic_1.txt
F:\data\images\pic_10.jpg,F:\data\labels\pic_10.txt
F:\data\images\pic_100.jpg,F:\data\labels\pic_100.txt
F:\data\images\pic_101.jpg,F:\data\labels\pic_101.txt
F:\data\images\pic_102.jpg,F:\data\labels\pic_102.txt
F:\data\images\pic_11.jpg,F:\data\labels\pic_11.txt
F:\data\images\pic_12.jpg,F:\data\labels\pic_12.txt
F:\data\images\pic_13.jpg,F:\data\labels\pic_13.txt
F:\data\images\pic_14.jpg,F:\data\labels\pic_14.txt
F:\data\images\pic_15.jpg,F:\data\labels\pic_15.txt
F:\data\images\pic_16.jpg,F:\data\labels\pic_16.txt
F:\data\images\pic_17.jpg,F:\data\labels\pic_17.txt
F:\data\images\pic_18.jpg,F:\data\labels\pic_18.txt
F:\data\images\pic_19.jpg,F:\data\labels\pic_19.txt
F:\data\images\pic_2.jpg,F:\data\labels\pic_2.txt
F:\data\images\pic_20.jpg,F:\data\labels\pic_20.txt
F:\data\images\pic_21.jpg,F:\data\labels\pic_21.txt
F:\data\images\pic_22.jpg,F:\data\labels\pic_22.txt
F:\data\images\pic_23.jpg,F:\data\labels\pic_23.txt
F:\data\images\pic_24.jpg,F:\data\labels\pic_24.txt
F:\data\images\pic_25.jpg,F:\data\labels\pic_25.txt
F:\data\images\pic_26.jpg,F:\data\labels\pic_26.txt
F:\data\images\pic_27.jpg,F:\data\labels\pic_27.txt
F:\data\images\pic_28.jpg,F:\data\labels\pic_28.txt
F:\data\images\pic_29.jpg,F:\data\labels\pic_29.txt
F:\data\images\pic_3.jpg,F:\data\labels\pic_3.txt
F:\data\images\pic_30.jpg,F:\data\labels\pic_30.txt
F:\data\images\pic_31.jpg,F:\data\labels\pic_31.txt
F:\data\images\pic_32.jpg,F:\data\labels\pic_32.txt
F:\data\images\pic_33.jpg,F:\data\labels\pic_33.txt
F:\data\images\pic_34.jpg,F:\data\labels\pic_34.txt
F:\data\images\pic_35.jpg,F:\data\labels\pic_35.txt
F:\data\images\pic_36.jpg,F:\data\labels\pic_36.txt
F:\data\images\pic_37.jpg,F:\data\labels\pic_37.txt
F:\data\images\pic_38.jpg,F:\data\labels\pic_38.txt
F:\data\images\pic_39.jpg,F:\data\labels\pic_39.txt
F:\data\images\pic_4.jpg,F:\data\labels\pic_4.txt
F:\data\images\pic_40.jpg,F:\data\labels\pic_40.txt
F:\data\images\pic_41.jpg,F:\data\labels\pic_41.txt
F:\data\images\pic_42.jpg,F:\data\labels\pic_42.txt
F:\data\images\pic_43.jpg,F:\data\labels\pic_43.txt
F:\data\images\pic_44.jpg,F:\data\labels\pic_44.txt
F:\data\images\pic_45.jpg,F:\data\labels\pic_45.txt
F:\data\images\pic_46.jpg,F:\data\labels\pic_46.txt
F:\data\images\pic_47.jpg,F:\data\labels\pic_47.txt
F:\data\images\pic_48.jpg,F:\data\labels\pic_48.txt
F:\data\images\pic_49.jpg,F:\data\labels\pic_49.txt
F:\data\images\pic_5.jpg,F:\data\labels\pic_5.txt
F:\data\images\pic_50.jpg,F:\data\labels\pic_50.txt
F:\data\images\pic_51.jpg,F:\data\labels\pic_51.txt
F:\data\images\pic_52.jpg,F:\data\labels\pic_52.txt
F:\data\images\pic_53.jpg,F:\data\labels\pic_53.txt
F:\data\images\pic_54.jpg,F:\data\labels\pic_54.txt
F:\data\images\pic_55.jpg,F:\data\labels\pic_55.txt
F:\data\images\pic_56.jpg,F:\data\labels\pic_56.txt
F:\data\images\pic_57.jpg,F:\data\labels\pic_57.txt
F:\data\images\pic_58.jpg,F:\data\labels\pic_58.txt
F:\data\images\pic_59.jpg,F:\data\labels\pic_59.txt
F:\data\images\pic_6.jpg,F:\data\labels\pic_6.txt
F:\data\images\pic_60.jpg,F:\data\labels\pic_60.txt
F:\data\images\pic_61.jpg,F:\data\labels\pic_61.txt
F:\data\images\pic_62.jpg,F:\data\labels\pic_62.txt
